"","id","tipo","id_color","id_preset","count_visit","count_share","count_like","title","audio","duration","filetype","wave","wave_gris","art","thumb_art","download","rrss_img","tags"
"2","1489","Disco","178","08","5777","21","28","SO SATISFYING","https://orgasmsoundlibrary.com/upload/orgasmos/so-satisfying/sT6p89EaBuxLQOVXw1LgOluUYyxh-F2M.wav","48.94764583333333","wav","https://orgasmsoundlibrary.com/upload/orgasmos/so-satisfying/wave_id_1489.png","https://orgasmsoundlibrary.com/upload/orgasmos/so-satisfying/wave_id_1489_gris.png","https://orgasmsoundlibrary.com/upload/orgasmos/so-satisfying/art_id_1489.png","https://orgasmsoundlibrary.com/upload/orgasmos/so-satisfying/thumb_art_id_1489.png","https://orgasmsoundlibrary.com/upload/orgasmos/so-satisfying/libreriadeorgasmos_id_1489.jpg","https://orgasmsoundlibrary.com/upload/orgasmos/so-satisfying/libreriadeorgasmos_rrss_id_1489.jpg","Erotic, Seductive, Enjoyment, Impulse, Blushing, Euphoric, Trembling, Bedroom, Thrilling, Sensual, Erotic, Clitoris, Clitoris, Finger, Explosive, Fantasy, "
"3","1488","Circles","78","78","4250","11","19","BIG ORGASM","https://orgasmsoundlibrary.com/upload/orgasmos/big-orgasm-/8_934toBiXsLKXmrDv5_QHwwgej3-YAR.wav","42.74072916666667","wav","https://orgasmsoundlibrary.com/upload/orgasmos/big-orgasm-/wave_id_1488.png","https://orgasmsoundlibrary.com/upload/orgasmos/big-orgasm-/wave_id_1488_gris.png","https://orgasmsoundlibrary.com/upload/orgasmos/big-orgasm-/art_id_1488.png","https://orgasmsoundlibrary.com/upload/orgasmos/big-orgasm-/thumb_art_id_1488.png","https://orgasmsoundlibrary.com/upload/orgasmos/big-orgasm-/libreriadeorgasmos_id_1488.jpg","https://orgasmsoundlibrary.com/upload/orgasmos/big-orgasm-/libreriadeorgasmos_rrss_id_1488.jpg","Ecstasy, Out of control, Car, G-spot, G-spot, Penetration, Multiple, "
"4","1487","Circles","102","102","2984","16","16","REAL BIG ORGASM !!! FROM ITALY","https://orgasmsoundlibrary.com/upload/orgasmos/real-big-orgasm-from-italy/-Z3o9oTqJCXSiL6QtidOVHGwtTOlpx_Z.wav","62.951479166666665","wav","https://orgasmsoundlibrary.com/upload/orgasmos/real-big-orgasm-from-italy/wave_id_1487.png","https://orgasmsoundlibrary.com/upload/orgasmos/real-big-orgasm-from-italy/wave_id_1487_gris.png","https://orgasmsoundlibrary.com/upload/orgasmos/real-big-orgasm-from-italy/art_id_1487.png","https://orgasmsoundlibrary.com/upload/orgasmos/real-big-orgasm-from-italy/thumb_art_id_1487.png","https://orgasmsoundlibrary.com/upload/orgasmos/real-big-orgasm-from-italy/libreriadeorgasmos_id_1487.jpg","https://orgasmsoundlibrary.com/upload/orgasmos/real-big-orgasm-from-italy/libreriadeorgasmos_rrss_id_1487.jpg","Ecstasy, Improvised, Ecstasy, Car, G-spot, G-spot, Multiple, Fantasy, "
"5","1486","Circles","97","97","1365","4","6","THOUGHT I'D GIVE IT A GO!","https://orgasmsoundlibrary.com/upload/orgasmos/thought-id-give-it-a-go/XXCIn4Px1yT7N7LF4MI2u_aXuHmmuDTk.wav","49.04054166666667","wav","https://orgasmsoundlibrary.com/upload/orgasmos/thought-id-give-it-a-go/wave_id_1486.png","https://orgasmsoundlibrary.com/upload/orgasmos/thought-id-give-it-a-go/wave_id_1486_gris.png","https://orgasmsoundlibrary.com/upload/orgasmos/thought-id-give-it-a-go/art_id_1486.png","https://orgasmsoundlibrary.com/upload/orgasmos/thought-id-give-it-a-go/thumb_art_id_1486.png","https://orgasmsoundlibrary.com/upload/orgasmos/thought-id-give-it-a-go/libreriadeorgasmos_id_1486.jpg","https://orgasmsoundlibrary.com/upload/orgasmos/thought-id-give-it-a-go/libreriadeorgasmos_rrss_id_1486.jpg","Play, Impulse, Out of control, Blushing, Trembling, Shivering, Bedroom, Relief, Impulsive, Tickling, Sensual, Clitoris, Clitoris, Finger, Hand, Quiet, Alone, "
"6","1485","Circles","167","167","1930","8","4","FILLING WIFE WITH SPERM","https://orgasmsoundlibrary.com/upload/orgasmos/filling-wife-with-sperm/Kp7Hoo0E0lgRUJULuyyhl7ZFvzLIhjt-.wav","45.789770833333336","wav","https://orgasmsoundlibrary.com/upload/orgasmos/filling-wife-with-sperm/wave_id_1485.png","https://orgasmsoundlibrary.com/upload/orgasmos/filling-wife-with-sperm/wave_id_1485_gris.png","https://orgasmsoundlibrary.com/upload/orgasmos/filling-wife-with-sperm/art_id_1485.png","https://orgasmsoundlibrary.com/upload/orgasmos/filling-wife-with-sperm/thumb_art_id_1485.png","https://orgasmsoundlibrary.com/upload/orgasmos/filling-wife-with-sperm/libreriadeorgasmos_id_1485.jpg","https://orgasmsoundlibrary.com/upload/orgasmos/filling-wife-with-sperm/libreriadeorgasmos_rrss_id_1485.jpg","Erotic, Ecstasy, Casual, Ecstasy, Bedroom, Erotic, Anus, Hand, Intense, Alone, "
"7","1484","Circles","76","76","1678","4","6","SUPERB ORGASM","https://orgasmsoundlibrary.com/upload/orgasmos/superb-orgasm/xnOrXs2tKYny7IQwNmepNVJ0EcRDK0I8.mp3","20.18497916666667","mp3","https://orgasmsoundlibrary.com/upload/orgasmos/superb-orgasm/wave_id_1484.png","https://orgasmsoundlibrary.com/upload/orgasmos/superb-orgasm/wave_id_1484_gris.png","https://orgasmsoundlibrary.com/upload/orgasmos/superb-orgasm/art_id_1484.png","https://orgasmsoundlibrary.com/upload/orgasmos/superb-orgasm/thumb_art_id_1484.png","https://orgasmsoundlibrary.com/upload/orgasmos/superb-orgasm/libreriadeorgasmos_id_1484.jpg","https://orgasmsoundlibrary.com/upload/orgasmos/superb-orgasm/libreriadeorgasmos_rrss_id_1484.jpg","Seductive, Love, Casual, Heat, Home, Clitoris, Penetration, Loud, Couple, "
"8","1483","Particles","177","02","946","4","3","GONSSA","https://orgasmsoundlibrary.com/upload/orgasmos/gonssa/fdj0UBh5LS5uMSX20aspWUpsw2Y1J3CV.wav","22.569795918367348","wav","https://orgasmsoundlibrary.com/upload/orgasmos/gonssa/wave_id_1483.png","https://orgasmsoundlibrary.com/upload/orgasmos/gonssa/wave_id_1483_gris.png","https://orgasmsoundlibrary.com/upload/orgasmos/gonssa/art_id_1483.png","https://orgasmsoundlibrary.com/upload/orgasmos/gonssa/thumb_art_id_1483.png","https://orgasmsoundlibrary.com/upload/orgasmos/gonssa/libreriadeorgasmos_id_1483.jpg","https://orgasmsoundlibrary.com/upload/orgasmos/gonssa/libreriadeorgasmos_rrss_id_1483.jpg","Passionate, Swooring, Bedroom, Erotic, Anus, Hand, Intense, Alone, "
"9","1482","Circles","169","169","720","2","5","SI TU ME POSSÉDAIS, FAISONS CE RÊVE ÉTRANGE ...","https://orgasmsoundlibrary.com/upload/recoded/1482/PKF1cUBMnlHi1waq3jPrzrBm12FHkXXq.mp3","44.20131519274376","mp3","https://orgasmsoundlibrary.com/upload/recoded/1482/wave_id_1482.png","https://orgasmsoundlibrary.com/upload/recoded/1482/wave_id_1482_gris.png","https://orgasmsoundlibrary.com/upload/recoded/1482/art_id_1482.png","https://orgasmsoundlibrary.com/upload/recoded/1482/thumb_art_id_1482.png","https://orgasmsoundlibrary.com/upload/recoded/1482/libreriadeorgasmos_id_1482.jpg","https://orgasmsoundlibrary.com/upload/recoded/1482/libreriadeorgasmos_rrss_id_1482.jpg","Sensual, Hot, Clitoris, Caress, Hand, Fantasy, "
"10","1481","Circles","29","29","911","6","5","L'ORGASME MASCULIN 3","https://orgasmsoundlibrary.com/upload/orgasmos/lorgasme-masculin-3/7xoJG9Vxv8W1N_oDTfRsuJfOJcjV5wzZ.mp3","31.728458404541016","mpeg","https://orgasmsoundlibrary.com/upload/orgasmos/lorgasme-masculin-3/wave_id_1481.png","https://orgasmsoundlibrary.com/upload/orgasmos/lorgasme-masculin-3/wave_id_1481_gris.png","https://orgasmsoundlibrary.com/upload/orgasmos/lorgasme-masculin-3/art_id_1481.png","https://orgasmsoundlibrary.com/upload/orgasmos/lorgasme-masculin-3/thumb_art_id_1481.png","https://orgasmsoundlibrary.com/upload/orgasmos/lorgasme-masculin-3/libreriadeorgasmos_id_1481.jpg","https://orgasmsoundlibrary.com/upload/orgasmos/lorgasme-masculin-3/libreriadeorgasmos_rrss_id_1481.jpg","Erotic, Ecstasy, Out of control, Kitchen, Relief, Penetration, Explosive, Couple, "
"11","1480","Circles","198","198","1745","3","10","NAUGHTY NIGHT","https://orgasmsoundlibrary.com/upload/recoded/1480/rTomZcjzQRzIl4NKpfOmAbbkDC_JyB81.mp3","85.184","mp3","https://orgasmsoundlibrary.com/upload/recoded/1480/wave_id_1480.png","https://orgasmsoundlibrary.com/upload/recoded/1480/wave_id_1480_gris.png","https://orgasmsoundlibrary.com/upload/recoded/1480/art_id_1480.png","https://orgasmsoundlibrary.com/upload/recoded/1480/thumb_art_id_1480.png","https://orgasmsoundlibrary.com/upload/recoded/1480/libreriadeorgasmos_id_1480.jpg","https://orgasmsoundlibrary.com/upload/recoded/1480/libreriadeorgasmos_rrss_id_1480.jpg","Erotic, Ecstasy, Impulse, Euphoric, Bed, Erotic, G-spot, Clitoris, Penetration, Intense, Lover, "
